Date,TSLA,AAPL,GOOG,META
2020-12-23,215.32666015625,129.4065704345703,86.61900329589844,268.1099853515625
2020-12-24,220.58999633789062,130.4045867919922,86.94249725341797,267.3999938964844
2020-12-28,221.22999572753906,135.06858825683594,88.80449676513672,277.0
2020-12-29,221.99667358398438,133.2701873779297,87.93599700927734,276.7799987792969
2020-12-30,231.5933380126953,132.13381958007812,86.97599792480469,271.8699951171875
2020-12-31,235.22332763671875,131.1160430908203,87.59400177001953,273.1600036621094
2021-01-04,243.2566680908203,127.8749771118164,86.41200256347656,268.94000244140625
2021-01-05,245.0366668701172,129.45594787597656,87.0459976196289,270.9700012207031
2021-01-06,251.9933319091797,125.09827423095703,86.7645034790039,263.30999755859375
2021-01-07,272.0133361816406,129.36703491210938,89.36250305175781,268.739990234375
2021-01-08,293.3399963378906,130.48362731933594,90.3604965209961,267.57000732421875
2021-01-11,270.39666748046875,127.45004272460938,88.33599853515625,256.8399963378906
2021-01-12,283.14666748046875,127.2721939086914,87.32749938964844,251.08999633789062
2021-01-13,284.8033447265625,129.33737182617188,87.72000122070312,251.63999938964844
2021-01-14,281.6666564941406,127.3808822631836,87.00900268554688,245.63999938964844
2021-01-15,275.38665771484375,125.63187408447266,86.80950164794922,251.36000061035156
2021-01-19,281.51666259765625,126.31369018554688,89.54299926757812,261.1000061035156
2021-01-20,283.48333740234375,130.46388244628906,94.34500122070312,267.4800109863281
2021-01-21,281.663330078125,135.24644470214844,94.5625,272.8699951171875
2021-01-22,282.21331787109375,137.4203643798828,95.05249786376953,274.5
2021-01-25,293.6000061035156,141.2246856689453,94.97000122070312,278.010009765625
2021-01-26,294.36334228515625,141.46185302734375,95.86199951171875,282.04998779296875
2021-01-27,288.0533447265625,140.37489318847656,91.53949737548828,272.1400146484375
2021-01-28,278.4766540527344,135.46383666992188,93.15550231933594,265.0
2021-01-29,264.510009765625,130.3946990966797,91.78700256347656,258.3299865722656
2021-02-01,279.9366760253906,132.54884338378906,95.06749725341797,262.010009765625
2021-02-02,290.92999267578125,133.38877868652344,96.37550354003906,267.0799865722656
2021-02-03,284.89666748046875,132.35122680664062,103.50350189208984,266.6499938964844
2021-02-04,283.3299865722656,135.76026916503906,103.11849975585938,266.489990234375
2021-02-05,284.07666015625,135.3396759033203,104.9000015258789,268.1000061035156
2021-02-08,287.8066711425781,135.4881591796875,104.64550018310547,266.5799865722656
2021-02-09,283.1533203125,134.5974884033203,104.17549896240234,269.45001220703125
2021-02-10,268.2733459472656,133.98390197753906,104.76899719238281,271.8699951171875
2021-02-11,270.5533447265625,133.72665405273438,104.79450225830078,270.3900146484375
2021-02-12,272.0400085449219,133.96412658691406,105.20549774169922,270.5
2021-02-16,265.40667724609375,131.80677795410156,106.09500122070312,273.9700012207031
2021-02-17,266.04998779296875,129.48117065429688,106.41549682617188,273.57000732421875
2021-02-18,262.4599914550781,128.36293029785156,105.86000061035156,269.3900146484375
2021-02-19,260.4333190917969,128.521240234375,105.05699920654297,261.55999755859375
2021-02-22,238.1666717529297,124.69144439697266,103.24400329589844,260.3299865722656
2021-02-23,232.94667053222656,124.55289459228516,103.54299926757812,265.8599853515625
2021-02-24,247.33999633789062,124.04818725585938,104.75849914550781,264.30999755859375
2021-02-25,227.4066619873047,119.73347473144531,101.56800079345703,254.69000244140625
2021-02-26,225.1666717529297,120.00067138671875,101.84300231933594,257.6199951171875
2021-03-01,239.47666931152344,126.46285247802734,104.07550048828125,264.9100036621094
2021-03-02,228.81333923339844,123.82058715820312,103.79199981689453,259.0
2021-03-03,217.73333740234375,120.79235076904297,101.33550262451172,255.41000366210938
2021-03-04,207.14666748046875,118.88240814208984,102.45449829101562,257.6400146484375
2021-03-05,199.31666564941406,120.15900421142578,105.427001953125,264.2799987792969
2021-03-08,187.6666717529297,115.15155792236328,101.20850372314453,255.30999755859375
2021-03-09,224.52667236328125,119.83243560791016,102.63500213623047,265.739990234375
2021-03-10,222.68666076660156,118.73396301269531,102.75150299072266,264.8999938964844
2021-03-11,233.1999969482422,120.69339752197266,105.7385025024414,273.8800048828125
2021-03-12,231.2433319091797,119.77305603027344,103.09600067138672,268.3999938964844
2021-03-15,235.97999572753906,122.70230865478516,103.32450103759766,273.75
2021-03-16,225.6266632080078,124.26591491699219,104.6259994506836,279.2799987792969
2021-03-17,233.93666076660156,123.46431732177734,104.55400085449219,284.010009765625
2021-03-18,217.72000122070312,119.27825164794922,101.81099700927734,278.6199951171875
