"","TCGA-B6-A0RL-01A-11R-A084-07","TCGA-A2-A0T0-01A-22R-A084-07","TCGA-BH-A18U-01A-21R-A12D-07","TCGA-E2-A15M-11A-22R-A12D-07","TCGA-BH-A0DG-01A-21R-A12P-07","TCGA-E2-A1BC-11A-32R-A12P-07","TCGA-C8-A138-01A-11R-A115-07","TCGA-BH-A0DT-01A-21R-A12D-07","TCGA-A2-A0D4-01A-11R-A00Z-07","TCGA-BH-A0HW-01A-11R-A034-07","TCGA-A2-A0T7-01A-21R-A084-07","TCGA-AR-A1AV-01A-21R-A12P-07","TCGA-BH-A0H9-01A-11R-A056-07","TCGA-BH-A0BL-01A-11R-A115-07","TCGA-AO-A0J2-01A-11R-A034-07","TCGA-A2-A0CT-01A-31R-A056-07","TCGA-BH-A1EV-01A-11R-A137-07","TCGA-BH-A18P-01A-11R-A12D-07","TCGA-BH-A0DD-01A-31R-A12P-07","TCGA-A2-A04N-01A-11R-A115-07","TCGA-B6-A0RE-01A-11R-A056-07","TCGA-B6-A0WY-01A-11R-A109-07","TCGA-AR-A1AT-01A-11R-A12P-07","TCGA-C8-A12L-01A-11R-A115-07","TCGA-A8-A086-01A-11R-A00Z-07","TCGA-A2-A0YK-01A-22R-A109-07","TCGA-A2-A0CL-01A-11R-A115-07","TCGA-BH-A0H5-11A-62R-A115-07","TCGA-A2-A04R-01A-41R-A109-07","TCGA-BH-A0DV-11A-22R-A12P-07","TCGA-BH-A0HP-01A-12R-A084-07","TCGA-A2-A0SU-01A-11R-A084-07","TCGA-B6-A0WS-01A-11R-A115-07","TCGA-BH-A0B5-11A-23R-A12P-07","TCGA-C8-A12Q-01A-11R-A115-07","TCGA-A8-A083-01A-21R-A00Z-07","TCGA-BH-A0E0-11A-13R-A089-07","TCGA-AR-A0TS-01A-11R-A115-07","TCGA-A2-A0EM-01A-11R-A034-07","TCGA-BH-A18M-11A-33R-A12D-07"
"CAP1","-0.292833333333333","0.4765","0.252166666666667","0.158333333333333","0.4","0.292166666666667","0.370833333333333","0.117833333333333","-0.0856666666666667","-1.15383333333333","2.0025","0.695166666666667","0.7355","0.627666666666667","0.8635","-0.0576666666666667","1.85766666666667","0.8175","0.442666666666667","-0.046","0.594666666666667","0.4155","1.38833333333333","-0.0785","0.420333333333333","1.06666666666667","1.03033333333333","-0.140666666666667","-0.306833333333333","-0.3815","0.3805","0.1655","0.622833333333333","-0.3035","1.49116666666667","0.0738333333333333","-0.178","0.862333333333333","0.373333333333333","0.102833333333333"
"TMEM128","0.5875","0.0795","0.303666666666667","0.527","0.582666666666667","0.456","-0.551333333333333","0.785666666666667","1.39183333333333","1.04133333333333","0.732666666666667","0.700833333333333","0.0441666666666667","0.354","0.25","2.28766666666667","0.025","0.863","1.3755","1.116","-0.721","0.586","0.437166666666667","0.825333333333333","0.421833333333333","0.696333333333333","-0.523666666666667","1.08483333333333","1.22216666666667","1.213","0.769333333333333","0.805333333333333","0.856833333333333","0.987","-0.146166666666667","0.308333333333333","1.22416666666667","0.144333333333333","0.955166666666667","1.08383333333333"
"MPP7","0.72325","0.929625","0.317","1.153375","1.377375","1.095375","-0.385625","2.278625","3.210375","1.555125","1.885","0.608625","0.82","2.25125","1.98875","2.595","-0.228875","0.80475","1.543125","2.8575","2.005","1.304875","0.549125","1.8225","1.38875","1.34375","1.436875","2.115125","2.519625","0.883375","2.01825","2.0345","1.59575","0.799625","2.055","2.92325","2.6485","1.155375","2.701","1.518625"
"C14orf145","-1.07575","-1.105375","-1.189625","-0.4885","-1.48975","-1.98","0.649375","-1.276875","-1.1965","-1.131","-1.4055","0.042","-1.317125","-0.65875","-0.180875","-1.168","-1.163125","-0.947875","-0.519375","-1.309375","-1.171125","-1.42025","-1.093375","-0.479","-1.16625","-1.245","-0.592375","-1.280875","-0.69575","-1.548125","-1.417875","-1.515625","-1.619375","-2.238","-0.79125","-1.375875","-0.480125","-1.206875","-1.457625","-1.449125"
"CUTL2","-1.404375","-1.77025","-3.02914285714286","-0.608285714285714","2.018","-1.678125","-2.097625","-1.209125","-1.714125","-2.78325","-0.5175","1.189625","-2.30725","-0.2435","3.998","-2.325125","-2.25857142857143","-1.634125","3.798875","1.230625","-3.008375","0.703125","-0.960875","-0.58425","-1.56275","-0.162875","0.40625","1.455875","-2.43925","-0.34075","-1.115125","-1.452375","-0.39525","-1.346875","3.547375","-2.056125","-0.693875","0.380125","-1.278375","0.912375"
"FPGS","0.2295","0.309833333333333","-0.114666666666667","-0.411166666666667","0.149333333333333","0.832666666666667","0.328666666666667","-0.0703333333333333","0.178166666666667","-0.393333333333333","-0.0911666666666667","-0.0886666666666667","0.3415","0.0528333333333333","1.0945","-0.705166666666667","0.0455","0.240333333333333","-0.764666666666667","-0.738166666666667","0.384166666666667","0.022","0.344","-0.404666666666667","0.2185","-0.0203333333333333","-0.361833333333333","-0.534833333333333","0.9555","0.0128333333333333","-0.0791666666666667","0.174833333333333","0.5175","1.56183333333333","0.129666666666667","0.145","-0.695","0.306166666666667","0.355","-0.154333333333333"
"LAD1","-1.73233333333333","3.20433333333333","-0.593166666666667","-0.072","1.815","-2.47766666666667","1.656","0.6435","1.51333333333333","-0.0663333333333333","1.32566666666667","0.26","0.3065","1.03983333333333","2.55433333333333","0.1025","1.7275","2.18416666666667","0.762833333333333","-0.633333333333333","3.4075","1.5925","2.75666666666667","2.7235","-0.069","1.381","1.01833333333333","1.08283333333333","0.691333333333333","1.2735","1.76083333333333","-0.493333333333333","0.549333333333333","-1.9595","1.39083333333333","-1.7425","1.37816666666667","1.49033333333333","0.679833333333333","0.0823333333333333"
"TMEM87B","1.3924","0.8173","1.4571","0.5737","2.1574","-0.8742","1.3409","1.0205","1.8554","0.5315","1.4211","0.8798","1.482","1.0217","1.6728","2.2266","1.7507","0.9819","1.4043","1.886","0.5313","1.0203","1.6662","2.0858","1.3077","0.8436","2.022","0.2718","0.9704","-0.3866","1.7191","0.3126","1.2031","-0.3623","1.6638","2.2055","1.5193","0.1878","1.5927","0.1511"
"ECHDC1","-0.3475","0.5515","-2.08933333333333","0.4995","-0.133166666666667","2.58283333333333","-0.701333333333333","-0.7295","-0.194666666666667","-0.688666666666667","-0.937333333333333","-0.7015","-1.27166666666667","0.308333333333333","-0.995833333333333","-0.946666666666667","-0.81","0.219833333333333","-2.32716666666667","-0.659166666666667","-1.24733333333333","-0.240833333333333","-0.329333333333333","0.305","-0.634","-0.6655","-0.937666666666667","0.328333333333333","-1.1525","0.202333333333333","-1.637","-1.3045","-0.265833333333333","2.15833333333333","-1.57333333333333","0.0551666666666667","0.195666666666667","-1.21716666666667","-0.248833333333333","1.339"
"CYP27C1","-0.489","0.004","0.2575","0.16","-0.0235","-0.2365","0.5855","-0.4455","-0.546","-0.7395","0.2255","-0.827","0.2165","0.1855","-0.0705","-0.18","-0.412","0.3365","-0.1535","-0.1155","0.979","-0.537","0.425","1.4035","0.258","-0.548","-0.885","0.7445","-0.233","-0.1065","0.1485","0.1645","0.3395","-0.2135","0.7395","-0.5315","-0.6055","0.3265","0.1195","0.2115"
